ID,Task,PIC,Reviewer,Status,Effort (h),Plan Start Date,Plan End Date,Actual Start Date,Actual End Date,Progress,Remark
1,Task 1,Bao,Lead 1,In Progress,13,2025-10-27,2025-10-27,"","",12%,
2,Task 2,Chien,Lead 2,Planned,4,2025-10-28,2025-10-28,"","",15%,
3,Task 3,Tai,Lead 3,On Hold,10,2025-10-26,2025-10-26,"","",83%,
4,Task 4,Bao,Lead 1,Planned,8,2025-10-30,2025-10-30,"","",29%,
5,Task 5,Cuong,Lead 2,Completed,12,2025-10-31,2025-10-31,"","",72%,
6,Task 6,Truyen,Lead 3,In Progress,11,2025-11-01,2025-11-01,"","",78%,
7,Task 7,Toi,Lead 1,On Hold,10,2025-10-27,2025-10-27,"","",83%,
8,Task 8,Cuong,Lead 2,In Progress,12,2025-10-28,2025-10-28,"","",100%,
9,Task 9,Bao,Lead 3,In Progress,14,2025-10-26,2025-10-26,"","",34%,
10,Task 10,Toi,Lead 1,In Progress,17,2025-10-30,2025-10-30,"","",93%,
11,Task 11,Chien,Lead 2,In Progress,8,2025-10-31,2025-10-31,"","",1%,
12,Task 12,Tai,Lead 3,In Progress,13,2025-11-01,2025-11-01,"","",66%,
13,Task 13,Tai,Lead 1,Completed,6,2025-10-28,2025-10-28,"","",36%,
14,Task 14,Cuong,Lead 2,In Progress,20,2025-10-28,2025-10-28,"","",25%,
15,Task 15,Truyen,Lead 3,In Progress,9,2025-10-27,2025-10-27,"","",94%,
16,Task 16,Truyen,Lead 1,Planned,9,2025-10-27,2025-10-27,"","",12%,
17,Task 17,Tai,Lead 2,On Hold,9,2025-10-30,2025-10-30,"","",90%,
18,Task 18,Bao,Lead 3,In Progress,18,2025-10-30,2025-10-30,"","",0%,
19,Task 19,Chien,Lead 1,On Hold,1,2025-10-30,2025-10-30,"","",70%,
20,Task 20,Cuong,Lead 2,On Hold,13,2025-10-30,2025-10-30,"","",11%,
